unit_diamond.txt
Not shared
Type
Text
Size
12 KB (11,789 bytes)
Storage used
12 KB (11,789 bytes)
Location
data
Owner
me
Modified
Apr 26, 2021 by me
Opened
7:57 PM by me
Created
Apr 26, 2021 with Google Drive Web
Add a description
Viewers can download
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.238795042037963867e-01 3.826834559440612793e-01 0.000000000000000000e+00
7.071067690849304199e-01 7.071067690849304199e-01 0.000000000000000000e+00
3.826834261417388916e-01 9.238795042037963867e-01 0.000000000000000000e+00
-4.371138828673792887e-08 1.000000000000000000e+00 0.000000000000000000e+00
-3.826833963394165039e-01 9.238795638084411621e-01 0.000000000000000000e+00
-7.071067690849304199e-01 7.071067690849304199e-01 0.000000000000000000e+00
-9.238795042037963867e-01 3.826834857463836670e-01 0.000000000000000000e+00
-1.000000000000000000e+00 -8.742277657347585773e-08 0.000000000000000000e+00
-9.238795042037963867e-01 -3.826834261417388916e-01 0.000000000000000000e+00
-7.071068286895751953e-01 -7.071067094802856445e-01 0.000000000000000000e+00
-3.826835751533508301e-01 -9.238795042037963867e-01 0.000000000000000000e+00
1.192488063850305480e-08 -1.000000000000000000e+00 0.000000000000000000e+00
3.826836049556732178e-01 -9.238794445991516113e-01 0.000000000000000000e+00
7.071066498756408691e-01 -7.071068882942199707e-01 0.000000000000000000e+00
9.238795638084411621e-01 -3.826834261417388916e-01 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 3.400000184774398804e-02
9.238795042037963867e-01 3.826834559440612793e-01 3.400000184774398804e-02
7.071067690849304199e-01 7.071067690849304199e-01 3.400000184774398804e-02
3.826834261417388916e-01 9.238795042037963867e-01 3.400000184774398804e-02
-4.371138828673792887e-08 1.000000000000000000e+00 3.400000184774398804e-02
-3.826833963394165039e-01 9.238795638084411621e-01 3.400000184774398804e-02
-7.071067690849304199e-01 7.071067690849304199e-01 3.400000184774398804e-02
-9.238795042037963867e-01 3.826834857463836670e-01 3.400000184774398804e-02
-1.000000000000000000e+00 -8.742277657347585773e-08 3.400000184774398804e-02
-9.238795042037963867e-01 -3.826834261417388916e-01 3.400000184774398804e-02
-7.071068286895751953e-01 -7.071067094802856445e-01 3.400000184774398804e-02
-3.826835751533508301e-01 -9.238795042037963867e-01 3.400000184774398804e-02
1.192488063850305480e-08 -1.000000000000000000e+00 3.400000184774398804e-02
3.826836049556732178e-01 -9.238794445991516113e-01 3.400000184774398804e-02
7.071066498756408691e-01 -7.071068882942199707e-01 3.400000184774398804e-02
9.238795638084411621e-01 -3.826834261417388916e-01 3.400000184774398804e-02
9.807852506637573242e-01 1.950903236865997314e-01 1.786909438669681549e-02
8.314695954322814941e-01 5.555702447891235352e-01 1.786909438669681549e-02
5.555702447891235352e-01 8.314695954322814941e-01 1.786909438669681549e-02
1.950903534889221191e-01 9.807852506637573242e-01 1.786909438669681549e-02
